名称,数值类型,描述,类别,时间戳精度
"[V4_DPU2011_HW_DI050101_PV]",BOOL,8#炉水冷壁下降管排污电动阀7远方,"base,scan",0
"[V4_DPU2011_HW_DI050102_PV]",BOOL,8#炉水冷壁下降管排污电动阀7已开,"base,scan",0
"[V4_DPU2011_HW_DI050103_PV]",BOOL,8#炉水冷壁下降管排污电动阀7已关,"base,scan",0
"[V4_DPU2011_HW_DI050104_PV]",BOOL,8#炉水冷壁下降管排污电动阀7故障,"base,scan",0
"[V4_DPU2011_HW_DI050105_PV]",BOOL,8#炉水冷壁下降管排污电动阀8远方,"base,scan",0
"[V4_DPU2011_HW_DI050106_PV]",BOOL,8#炉水冷壁下降管排污电动阀8已开,"base,scan",0
"[V4_DPU2011_HW_DI050107_PV]",BOOL,8#炉水冷壁下降管排污电动阀8已关,"base,scan",0
"[V4_DPU2011_HW_DI050108_PV]",BOOL,8#炉水冷壁下降管排污电动阀8故障,"base,scan",0
"[V4_DPU2011_HW_DI050109_PV]",BOOL,8#炉水冷壁下降管排污电动阀9远方,"base,scan",0
"[V4_DPU2011_HW_DI050110_PV]",BOOL,8#炉水冷壁下降管排污电动阀9已开,"base,scan",0
"[V4_DPU2011_HW_DI050111_PV]",BOOL,8#炉水冷壁下降管排污电动阀9已关,"base,scan",0
"[V4_DPU2011_HW_DI050112_PV]",BOOL,8#炉水冷壁下降管排污电动阀9故障,"base,scan",0
"[V4_DPU2011_HW_DI050113_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050114_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050115_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050116_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050201_PV]",BOOL,8#炉水冷壁下降管排污电动阀10远方,"base,scan",0
"[V4_DPU2011_HW_DI050202_PV]",BOOL,8#炉水冷壁下降管排污电动阀10已开,"base,scan",0
"[V4_DPU2011_HW_DI050203_PV]",BOOL,8#炉水冷壁下降管排污电动阀10已关,"base,scan",0
"[V4_DPU2011_HW_DI050204_PV]",BOOL,8#炉水冷壁下降管排污电动阀10故障,"base,scan",0
"[V4_DPU2011_HW_DI050205_PV]",BOOL,8#炉低过进口集箱疏水电动阀远方,"base,scan",0
"[V4_DPU2011_HW_DI050206_PV]",BOOL,8#炉低过进口集箱疏水电动阀已开,"base,scan",0
"[V4_DPU2011_HW_DI050207_PV]",BOOL,8#炉低过进口集箱疏水电动阀已关,"base,scan",0
"[V4_DPU2011_HW_DI050208_PV]",BOOL,8#炉低过进口集箱疏水电动阀故障,"base,scan",0
"[V4_DPU2011_HW_DI050209_PV]",BOOL,8#炉低过出口集箱疏水电动阀远方,"base,scan",0
"[V4_DPU2011_HW_DI050210_PV]",BOOL,8#炉低过出口集箱疏水电动阀已开,"base,scan",0
"[V4_DPU2011_HW_DI050211_PV]",BOOL,8#炉低过出口集箱疏水电动阀已关,"base,scan",0
"[V4_DPU2011_HW_DI050212_PV]",BOOL,8#炉低过出口集箱疏水电动阀故障,"base,scan",0
"[V4_DPU2011_HW_DI050213_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050214_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050215_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050216_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050301_PV]",BOOL,8#炉水冷壁下集箱排污电动阀13远方,"base,scan",0
"[V4_DPU2011_HW_DI050302_PV]",BOOL,8#炉水冷壁下集箱排污电动阀13已开,"base,scan",0
"[V4_DPU2011_HW_DI050303_PV]",BOOL,8#炉水冷壁下集箱排污电动阀13已关,"base,scan",0
"[V4_DPU2011_HW_DI050304_PV]",BOOL,8#炉水冷壁下集箱排污电动阀13故障,"base,scan",0
"[V4_DPU2011_HW_DI050305_PV]",BOOL,8#炉水冷壁下集箱排污电动阀14远方,"base,scan",0
"[V4_DPU2011_HW_DI050306_PV]",BOOL,8#炉水冷壁下集箱排污电动阀14已开,"base,scan",0
"[V4_DPU2011_HW_DI050307_PV]",BOOL,8#炉水冷壁下集箱排污电动阀14已关,"base,scan",0
"[V4_DPU2011_HW_DI050308_PV]",BOOL,8#炉水冷壁下集箱排污电动阀14故障,"base,scan",0
"[V4_DPU2011_HW_DI050309_PV]",BOOL,8#炉水冷壁下集箱排污电动阀15远方,"base,scan",0
"[V4_DPU2011_HW_DI050310_PV]",BOOL,8#炉水冷壁下集箱排污电动阀15已开,"base,scan",0
"[V4_DPU2011_HW_DI050311_PV]",BOOL,8#炉水冷壁下集箱排污电动阀15已关,"base,scan",0
"[V4_DPU2011_HW_DI050312_PV]",BOOL,8#炉水冷壁下集箱排污电动阀15故障,"base,scan",0
"[V4_DPU2011_HW_DI050313_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050314_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050315_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050316_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050401_PV]",BOOL,8#炉水冷壁下集箱排污电动阀16远方,"base,scan",0
"[V4_DPU2011_HW_DI050402_PV]",BOOL,8#炉水冷壁下集箱排污电动阀16已开,"base,scan",0
"[V4_DPU2011_HW_DI050403_PV]",BOOL,8#炉水冷壁下集箱排污电动阀16已关,"base,scan",0
"[V4_DPU2011_HW_DI050404_PV]",BOOL,8#炉水冷壁下集箱排污电动阀16故障,"base,scan",0
"[V4_DPU2011_HW_DI050405_PV]",BOOL,8#炉水冷壁下集箱排污电动阀17远方,"base,scan",0
"[V4_DPU2011_HW_DI050406_PV]",BOOL,8#炉水冷壁下集箱排污电动阀17已开,"base,scan",0
"[V4_DPU2011_HW_DI050407_PV]",BOOL,8#炉水冷壁下集箱排污电动阀17已关,"base,scan",0
"[V4_DPU2011_HW_DI050408_PV]",BOOL,8#炉水冷壁下集箱排污电动阀17故障,"base,scan",0
"[V4_DPU2011_HW_DI050409_PV]",BOOL,8#炉水冷壁下集箱排污电动阀18远方,"base,scan",0
"[V4_DPU2011_HW_DI050410_PV]",BOOL,8#炉水冷壁下集箱排污电动阀18已开,"base,scan",0
"[V4_DPU2011_HW_DI050411_PV]",BOOL,8#炉水冷壁下集箱排污电动阀18已关,"base,scan",0
"[V4_DPU2011_HW_DI050412_PV]",BOOL,8#炉水冷壁下集箱排污电动阀18故障,"base,scan",0
"[V4_DPU2011_HW_DI050413_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050414_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050415_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI050416_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI060101_PV]",BOOL,8#炉水冷壁下降管排污电动阀1远方,"base,scan",0
"[V4_DPU2011_HW_DI060102_PV]",BOOL,8#炉水冷壁下降管排污电动阀1已开,"base,scan",0
"[V4_DPU2011_HW_DI060103_PV]",BOOL,8#炉水冷壁下降管排污电动阀1已关,"base,scan",0
"[V4_DPU2011_HW_DI060104_PV]",BOOL,8#炉水冷壁下降管排污电动阀1故障,"base,scan",0
"[V4_DPU2011_HW_DI060105_PV]",BOOL,8#炉水冷壁下降管排污电动阀2远方,"base,scan",0
"[V4_DPU2011_HW_DI060106_PV]",BOOL,8#炉水冷壁下降管排污电动阀2已开,"base,scan",0
"[V4_DPU2011_HW_DI060107_PV]",BOOL,8#炉水冷壁下降管排污电动阀2已关,"base,scan",0
"[V4_DPU2011_HW_DI060108_PV]",BOOL,8#炉水冷壁下降管排污电动阀2故障,"base,scan",0
"[V4_DPU2011_HW_DI060109_PV]",BOOL,8#炉水冷壁下降管排污电动阀3远方,"base,scan",0
"[V4_DPU2011_HW_DI060110_PV]",BOOL,8#炉水冷壁下降管排污电动阀3已开,"base,scan",0
"[V4_DPU2011_HW_DI060111_PV]",BOOL,8#炉水冷壁下降管排污电动阀3已关,"base,scan",0
"[V4_DPU2011_HW_DI060112_PV]",BOOL,8#炉水冷壁下降管排污电动阀3故障,"base,scan",0
"[V4_DPU2011_HW_DI060113_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI060114_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI060115_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI060116_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI060201_PV]",BOOL,8#炉水冷壁下降管排污电动阀4远方,"base,scan",0
"[V4_DPU2011_HW_DI060202_PV]",BOOL,8#炉水冷壁下降管排污电动阀4已开,"base,scan",0
"[V4_DPU2011_HW_DI060203_PV]",BOOL,8#炉水冷壁下降管排污电动阀4已关,"base,scan",0
"[V4_DPU2011_HW_DI060204_PV]",BOOL,8#炉水冷壁下降管排污电动阀4故障,"base,scan",0
"[V4_DPU2011_HW_DI060205_PV]",BOOL,8#炉水冷壁下降管排污电动阀5远方,"base,scan",0
"[V4_DPU2011_HW_DI060206_PV]",BOOL,8#炉水冷壁下降管排污电动阀5已开,"base,scan",0
"[V4_DPU2011_HW_DI060207_PV]",BOOL,8#炉水冷壁下降管排污电动阀5已关,"base,scan",0
"[V4_DPU2011_HW_DI060208_PV]",BOOL,8#炉水冷壁下降管排污电动阀5故障,"base,scan",0
"[V4_DPU2011_HW_DI060209_PV]",BOOL,8#炉水冷壁下降管排污电动阀6远方,"base,scan",0
"[V4_DPU2011_HW_DI060210_PV]",BOOL,8#炉水冷壁下降管排污电动阀6已开,"base,scan",0
"[V4_DPU2011_HW_DI060211_PV]",BOOL,8#炉水冷壁下降管排污电动阀6已关,"base,scan",0
"[V4_DPU2011_HW_DI060212_PV]",BOOL,8#炉水冷壁下降管排污电动阀6故障,"base,scan",0
